id,question,doc_ids
0,Who likes Birch Trees?,"Olinda_Posso,Wynona_Meskell"
1,Who likes Levels?,"Olinda_Posso,Leslie_Chueh"
2,Who likes Stand-up Comedy?,"Olinda_Posso,Ula_Yann"
3,Who likes Holland Lops?,"Olinda_Posso,Julia_Matsil"
4,Who likes Alligators?,"Olinda_Posso,Jamar_Brugger"
5,Who likes Bammy?,"Olinda_Posso,Celie_Scherbert"
6,Who likes The Sound of Wind in the Trees?,"Olinda_Posso,Ken_Palacz"
7,Who likes Urban Exploration?,"Olinda_Posso,Tyrone_Datu"
8,Who likes Philosophy?,"Olinda_Posso,Mattie_Puddy"
9,Who likes Alfajores?,"Olinda_Posso,Treva_Penix"
10,Who likes Blueberries?,"Olinda_Posso,Carlyle_Jee"
11,Who likes The Gilded Age?,"Olinda_Posso,Jerod_Office"
12,Who likes Orchids?,"Olinda_Posso,Kanye_Goehner"
13,Who likes Eggplants?,"Olinda_Posso,Trevion_Malasig"
14,Who likes the Texas Rangers?,"Olinda_Posso,Dulce_Pardieck"
15,Who likes Cribbage?,"Olinda_Posso,Thor_Flandez"
16,Who likes Quinoa?,"Olinda_Posso,Charolette_Ransbottom"
17,Who likes Environmental Engineering?,"Olinda_Posso,Chaka_Laham"
18,Who likes Lotteries?,"Olinda_Posso,Latosha_Gorthy"
19,Who likes Pavements Ants?,"Olinda_Posso,Aubra_Hokenson"
20,Who likes Cod?,"Olinda_Posso,Burl_Corlis"
21,Who likes Rainbows?,"Olinda_Posso,Saniyah_Jankowski"
22,Who likes Butchers?,"Olinda_Posso,Judi_Wion"
23,Who likes Eggnog?,"Olinda_Posso,Melissa_Zanis"
24,Who likes Wallets?,"Olinda_Posso,Dickie_Delibero"
25,Who likes Dryers?,"Olinda_Posso,Kallie_Pavlovski"
26,Who likes Risk?,"Olinda_Posso,Juliana_Helmold"
27,Who likes Bagels?,"Olinda_Posso,Vincenza_Otarola"
28,Who likes Grey Parrots?,"Olinda_Posso,Brent_Connell"
29,Who likes Cola Soda?,"Olinda_Posso,Dillie_Newett"
30,Who likes Paneer?,"Olinda_Posso,Deryl_Falsey"
31,Who likes Hot Chocolate?,"Olinda_Posso,Karyn_Geyser"
32,Who likes Armadillos?,"Olinda_Posso,Ninnie_Przybilla"
33,Who likes Juggling?,"Olinda_Posso,Dejuan_Topete"
34,Who likes Florists?,"Olinda_Posso,Kaydence_Retuta"
35,Who likes The Industrial Revolution?,"Olinda_Posso,Arthur_Tames"
36,Who likes Pumpkin Seeds?,"Olinda_Posso,Vicie_Dopp"
37,Who likes Rats?,"Olinda_Posso,Georgine_Armwood"
38,Who likes Green Peppercorns?,"Olinda_Posso,Lorie_Dineen"
39,Who likes Scuba Diving?,"Olinda_Posso,Jaquez_Windt"
40,Who likes Caramel Candies?,"Olinda_Posso,Alaina_Shabaz"
41,Who likes Peonies?,"Olinda_Posso,Lea_Hatz"
42,Who likes Markhors?,"Olinda_Posso,Milo_Siddoway"
43,Who likes Pulled Pork?,"Olinda_Posso,Daphne_Nosker"
44,Who likes Apple Juice?,"Olinda_Posso,Shalonda_Revelez"
45,Who likes Woodpeckers?,"Wynona_Meskell,Leslie_Chueh"
46,Who likes Game Design?,"Wynona_Meskell,Ula_Yann"
47,Who likes Black Tea?,"Wynona_Meskell,Julia_Matsil"
48,Who likes Chili?,"Wynona_Meskell,Jamar_Brugger"
49,Who likes Archery?,"Wynona_Meskell,Celie_Scherbert"
50,Who likes Mountain Biking?,"Wynona_Meskell,Ken_Palacz"
51,Who likes Sage?,"Wynona_Meskell,Tyrone_Datu"
52,Who likes Upside-Down Cakes?,"Wynona_Meskell,Mattie_Puddy"
53,Who likes Pad Thai?,"Wynona_Meskell,Treva_Penix"
54,Who likes Swamps?,"Wynona_Meskell,Carlyle_Jee"
55,Who likes Toads?,"Wynona_Meskell,Jerod_Office"
56,Who likes Solitaire?,"Wynona_Meskell,Kanye_Goehner"
57,Who likes Coleslaw?,"Wynona_Meskell,Trevion_Malasig"
58,Who likes Moon Pies?,"Wynona_Meskell,Dulce_Pardieck"
59,Who likes Pecan Pies?,"Wynona_Meskell,Thor_Flandez"
60,Who likes Wardrobes?,"Wynona_Meskell,Charolette_Ransbottom"
61,Who likes Love?,"Wynona_Meskell,Chaka_Laham"
62,Who likes Duct Tape?,"Wynona_Meskell,Latosha_Gorthy"
63,Who likes Turkish Delight?,"Wynona_Meskell,Aubra_Hokenson"
64,Who likes Apple Cider?,"Wynona_Meskell,Burl_Corlis"
65,Who likes Egg Noodles?,"Wynona_Meskell,Saniyah_Jankowski"
66,Who likes Barnacles?,"Wynona_Meskell,Judi_Wion"
67,Who likes Hematite?,"Wynona_Meskell,Melissa_Zanis"
68,Who likes Bow Ties?,"Wynona_Meskell,Dickie_Delibero"
69,Who likes White-tailed Deer?,"Wynona_Meskell,Kallie_Pavlovski"
70,Who likes Yeast?,"Wynona_Meskell,Juliana_Helmold"
71,Who likes Leaf Blowers?,"Wynona_Meskell,Vincenza_Otarola"
72,Who likes the San Diego Padres?,"Wynona_Meskell,Brent_Connell"
73,Who likes White Rice?,"Wynona_Meskell,Dillie_Newett"
74,Who likes Video game music?,"Wynona_Meskell,Deryl_Falsey"
75,Who likes Komodo Dragons?,"Wynona_Meskell,Karyn_Geyser"
76,Who likes Puzzle Video Games?,"Wynona_Meskell,Ninnie_Przybilla"
77,Who likes The Progressive Era?,"Wynona_Meskell,Dejuan_Topete"
78,Who likes Backgammon?,"Wynona_Meskell,Kaydence_Retuta"
79,Who likes Fire Extinguishers?,"Wynona_Meskell,Arthur_Tames"
80,Who likes Kiwis?,"Wynona_Meskell,Vicie_Dopp"
81,Who likes Adventure Video Games?,"Wynona_Meskell,Georgine_Armwood"
82,Who likes Legacy?,"Wynona_Meskell,Lorie_Dineen"
83,Who likes Fossils?,"Wynona_Meskell,Jaquez_Windt"
84,Who likes the Chicago Cubs?,"Wynona_Meskell,Alaina_Shabaz"
85,Who likes Cloves?,"Wynona_Meskell,Lea_Hatz"
86,Who likes Welders?,"Wynona_Meskell,Milo_Siddoway"
87,Who likes Sugar Gliders?,"Wynona_Meskell,Daphne_Nosker"
88,Who likes Bath Mats?,"Wynona_Meskell,Shalonda_Revelez"
89,Who likes Luna Moths?,"Leslie_Chueh,Ula_Yann"
90,Who likes Necklaces?,"Leslie_Chueh,Julia_Matsil"
91,Who likes Tundra?,"Leslie_Chueh,Jamar_Brugger"
92,Who likes Sports Video Games?,"Leslie_Chueh,Celie_Scherbert"
93,Who likes Newts?,"Leslie_Chueh,Ken_Palacz"
94,Who likes Clafoutis?,"Leslie_Chueh,Tyrone_Datu"
95,Who likes the Cincinnati Reds?,"Leslie_Chueh,Mattie_Puddy"
96,Who likes Track Cycling?,"Leslie_Chueh,Treva_Penix"
97,Who likes Yoga?,"Leslie_Chueh,Carlyle_Jee"
98,Who likes Daffodils?,"Leslie_Chueh,Jerod_Office"
99,Who likes Ice Cream Sundaes?,"Leslie_Chueh,Kanye_Goehner"
100,Who likes Belts?,"Leslie_Chueh,Trevion_Malasig"
101,Who likes the Colorado Rockies?,"Leslie_Chueh,Dulce_Pardieck"
102,Who likes Digital Art?,"Leslie_Chueh,Thor_Flandez"
103,Who likes Action Movies?,"Leslie_Chueh,Charolette_Ransbottom"
104,Who likes Sculpting?,"Leslie_Chueh,Chaka_Laham"
105,Who likes Indie Music?,"Leslie_Chueh,Latosha_Gorthy"
106,Who likes Safety Goggles?,"Leslie_Chueh,Aubra_Hokenson"
107,Who likes The Victorian Era?,"Leslie_Chueh,Burl_Corlis"
108,Who likes Mythology?,"Leslie_Chueh,Saniyah_Jankowski"
109,Who likes Mice?,"Leslie_Chueh,Judi_Wion"
110,Who likes Macadamia Nuts?,"Leslie_Chueh,Melissa_Zanis"
111,Who likes Churros?,"Leslie_Chueh,Dickie_Delibero"
112,Who likes Classics?,"Leslie_Chueh,Kallie_Pavlovski"
113,Who likes Screen Printing?,"Leslie_Chueh,Juliana_Helmold"
114,Who likes Photorealism?,"Leslie_Chueh,Vincenza_Otarola"
115,Who likes Mountains?,"Leslie_Chueh,Brent_Connell"
116,Who likes Whale Sharks?,"Leslie_Chueh,Dillie_Newett"
117,Who likes Ravines?,"Leslie_Chueh,Deryl_Falsey"
118,Who likes Ivy?,"Leslie_Chueh,Karyn_Geyser"
119,Who likes Lasagna?,"Leslie_Chueh,Ninnie_Przybilla"
120,Who likes Ukuleles?,"Leslie_Chueh,Dejuan_Topete"
121,Who likes Raspberries?,"Leslie_Chueh,Kaydence_Retuta"
122,Who likes Scrabble?,"Leslie_Chueh,Arthur_Tames"
123,Who likes Sunset?,"Leslie_Chueh,Vicie_Dopp"
124,Who likes Public Health?,"Leslie_Chueh,Georgine_Armwood"
125,Who likes Hummingbirds?,"Leslie_Chueh,Lorie_Dineen"
126,Who likes Millet?,"Leslie_Chueh,Jaquez_Windt"
127,Who likes Grease Ants?,"Leslie_Chueh,Alaina_Shabaz"
128,Who likes Pandemic?,"Leslie_Chueh,Lea_Hatz"
129,Who likes Papayas?,"Leslie_Chueh,Milo_Siddoway"
130,Who likes Jalapenos?,"Leslie_Chueh,Daphne_Nosker"
131,Who likes Coriander?,"Leslie_Chueh,Shalonda_Revelez"
132,Who likes Potato Bread?,"Ula_Yann,Julia_Matsil"
133,Who likes the Washington Nationals?,"Ula_Yann,Jamar_Brugger"
134,Who likes Muenster?,"Ula_Yann,Celie_Scherbert"
135,Who likes Chinese Five Spice?,"Ula_Yann,Ken_Palacz"
136,Who likes Swimsuits?,"Ula_Yann,Tyrone_Datu"
137,Who likes Fish and Chips?,"Ula_Yann,Mattie_Puddy"
138,Who likes Animated Movies?,"Ula_Yann,Treva_Penix"
139,Who likes Windows?,"Ula_Yann,Carlyle_Jee"
140,Who likes Brown Sugar?,"Ula_Yann,Jerod_Office"
141,Who likes Clams?,"Ula_Yann,Kanye_Goehner"
142,Who likes Deep Dish Pizza?,"Ula_Yann,Trevion_Malasig"
143,Who likes Waterfalls?,"Ula_Yann,Dulce_Pardieck"
144,Who likes Accordions?,"Ula_Yann,Thor_Flandez"
145,Who likes Oolong Tea?,"Ula_Yann,Charolette_Ransbottom"
146,Who likes Relief?,"Ula_Yann,Chaka_Laham"
147,Who likes Fireflies?,"Ula_Yann,Latosha_Gorthy"
148,Who likes The Feeling of a Smooth Stone?,"Ula_Yann,Aubra_Hokenson"
149,Who likes Beanies?,"Ula_Yann,Burl_Corlis"
150,Who likes Obstacle Course Racing?,"Ula_Yann,Saniyah_Jankowski"
151,Who likes Tai Chi?,"Ula_Yann,Judi_Wion"
152,Who likes Star Clusters?,"Ula_Yann,Melissa_Zanis"
153,Who likes The Belle Epoque?,"Ula_Yann,Dickie_Delibero"
154,Who likes Physics?,"Ula_Yann,Kallie_Pavlovski"
155,Who likes The Feeling of Cool Water?,"Ula_Yann,Juliana_Helmold"
156,Who likes Delight?,"Ula_Yann,Vincenza_Otarola"
157,Who likes Anthropology?,"Ula_Yann,Brent_Connell"
158,Who likes Hygge?,"Ula_Yann,Dillie_Newett"
